feature_id,compound_name,match_level,issue_category,provided_ids
50322,AKOS033484333,MS2,Vendor catalog codes,
51533,AKOS014708986,MS2,Vendor catalog codes,
10001,Glucose,MS1,Common name,HMDB0000122
10002,L-Alanine,MS2,Common name,HMDB0000161
10003,Cholesterol,MS1,Common name,HMDB0000067
10004,Taurine,MS2,Common name,HMDB0000251
10005,Creatinine,MS1,Common name,HMDB0000562
10006,Urea,MS2,Common name,HMDB0000294
10007,Citric acid,MS1,Common name,HMDB0000094
10008,Lactic acid,MS2,Common name,HMDB0000190
10009,Pyruvic acid,MS1,Common name,HMDB0000243
10010,Succinic acid,MS2,Common name,HMDB0000254
10011,Fumaric acid,MS1,Common name,HMDB0000134
10012,Malic acid,MS2,Common name,HMDB0000156
10013,Oxaloacetic acid,MS1,Common name,
10014,Alpha-ketoglutaric acid,MS2,Common name,
10015,Glycine,MS1,Common name,HMDB0000123
10016,L-Serine,MS2,Common name,HMDB0000187
10017,L-Threonine,MS1,Common name,HMDB0000167
10018,L-Valine,MS2,Common name,HMDB0000883
10019,L-Leucine,MS1,Common name,HMDB0000687
10020,L-Isoleucine,MS2,Common name,HMDB0000172
10021,L-Proline,MS1,Common name,HMDB0000162
10022,L-Phenylalanine,MS2,Common name,HMDB0000159
10023,L-Tryptophan,MS1,Common name,HMDB0000929
10024,L-Tyrosine,MS2,Common name,HMDB0000158
10025,L-Histidine,MS1,Common name,HMDB0000177
10026,L-Lysine,MS2,Common name,HMDB0000182
10027,L-Arginine,MS1,Common name,HMDB0000517
10028,L-Methionine,MS2,Common name,HMDB0000696
10029,L-Cysteine,MS1,Common name,HMDB0000574
10030,L-Glutamic acid,MS2,Common name,HMDB0000148
10031,L-Aspartic acid,MS1,Common name,HMDB0000191
10032,L-Asparagine,MS2,Common name,HMDB0000168
10033,L-Glutamine,MS1,Common name,HMDB0000641
10034,Palmitic acid,MS2,Lipid,HMDB0000220
10035,Stearic acid,MS1,Lipid,HMDB0000827
10036,Oleic acid,MS2,Lipid,HMDB0000207
10037,Linoleic acid,MS1,Lipid,HMDB0000673
10038,Arachidonic acid,MS2,Lipid,HMDB0001043
10039,Docosahexaenoic acid,MS1,Lipid,HMDB0002183
10040,Eicosapentaenoic acid,MS2,Lipid,HMDB0001999
